,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm,ET0_mm_day,Kc,ETc_mm_day,Rainfall_effective_mm,Irrigation_requirement_mm
2019-01-01,20.37,25.12,16.05,79.33,1.27,14.58,3.87,2.98323666405252,0.7,2.0882656648367637,3.096,0.0
2019-01-02,22.26,30.25,14.73,70.8,1.66,23.68,0.13,4.761539750713975,0.7,3.3330778254997826,0.10400000000000001,3.2290778254997825
2019-01-03,22.59,29.74,16.27,69.05,1.83,20.6,0.18,4.444056711207674,1.1398843162581649,5.065710545667469,0.144,4.921710545667469
2019-01-04,21.08,26.19,17.05,77.3,1.0,17.46,5.12,3.4527819284656918,1.1398843162581649,3.9357719677176632,4.096,0.0
2019-01-05,21.81,27.46,16.95,75.22,1.71,19.05,5.81,3.9121036375026526,1.1398843162581649,4.459345579965791,4.648,0.0
2019-01-06,21.47,27.46,18.02,70.9,1.89,19.43,0.38,4.146250627186624,1.1398843162581649,4.726246061205612,0.30400000000000005,4.422246061205612
2019-01-07,22.01,29.92,15.57,63.06,2.05,17.77,0.32,4.31919423496744,1.1398843162581649,4.923381767312067,0.256,4.667381767312067
2019-01-08,21.78,29.18,16.71,65.17,2.19,19.55,0.8,4.514010836905526,1.1398843162581649,5.145450156408002,0.6400000000000001,4.505450156408003
2019-01-09,21.79,29.14,15.26,66.65,1.44,21.91,0.08,4.480855011729327,1.1398843162581649,5.107656351297055,0.064,5.043656351297055
2019-01-10,21.95,29.3,15.15,64.91,1.37,18.48,0.52,4.0330399368292715,1.1398843162581649,4.597198970834507,0.41600000000000004,4.181198970834506
2019-01-11,22.46,29.92,15.57,66.65,1.66,20.94,1.9,4.496284332072769,1.1398843162581649,5.125243991567068,1.52,3.6052439915670678
2019-01-12,22.37,28.66,16.97,66.07,1.73,21.55,1.29,4.576781452796229,1.1398843162581649,5.21700139698368,1.032,4.18500139698368
2019-01-13,22.93,31.26,15.57,62.28,1.74,24.94,0.08,5.286267345337259,1.1372975014243873,6.012058643713393,0.064,5.948058643713393
2019-01-14,23.47,30.46,16.86,63.99,1.31,19.74,0.15,4.3397180331411604,1.1372975014243873,4.935550475977799,0.12,4.8155504759777985
2019-01-15,20.2,23.45,16.49,75.38,0.94,12.8,3.91,2.7162570456091206,1.1372975014243873,3.089192351197641,3.128,0.0
2019-01-16,18.38,21.09,15.69,82.8,1.25,7.27,2.43,1.807120081135582,1.1372975014243873,2.0552331530493335,1.9440000000000002,0.11123315304933334
2019-01-17,21.6,29.15,14.81,68.02,1.35,20.03,1.12,4.161135139544436,1.1372975014243873,4.732448597293106,0.8960000000000001,3.8364485972931064
2019-01-18,21.01,25.49,16.57,73.44,1.39,9.49,6.68,2.4879308437403544,1.1372975014243873,2.829517532302573,5.344,0.0
2019-01-19,21.34,27.3,15.47,72.81,1.49,16.94,7.76,3.5947958105797775,1.1372975014243873,4.088352293503236,6.208,0.0
2019-01-20,21.65,27.14,16.69,74.43,1.34,14.23,5.1,3.1710442275694586,1.1372975014243873,3.6064206769209717,4.08,0.0
2019-01-21,21.13,26.58,16.81,75.75,1.31,13.66,3.52,3.0282602691908456,1.1372975014243873,3.4440328378134915,2.8160000000000003,0.6280328378134912
2019-01-22,22.2,28.86,16.85,70.61,1.11,23.43,0.45,4.590094849609448,1.1372975014243873,5.220303403761775,0.36000000000000004,4.860303403761774
2019-01-23,22.27,27.95,17.35,68.51,1.33,18.97,1.6,4.021951653164009,0.7260874044297028,2.920288436587607,1.2800000000000002,1.640288436587607
2019-01-24,21.36,26.52,16.99,73.9,1.63,14.55,3.02,3.2814271798395547,0.7260874044297028,2.3826029438347818,2.4160000000000004,0.0
2019-01-25,21.9,28.33,17.59,71.65,1.33,13.41,0.4,3.1858622951170346,0.7260874044297028,2.3132144847319833,0.32000000000000006,1.9932144847319833
2019-01-26,21.69,28.25,15.56,72.27,1.56,13.41,1.6,3.1964519857440803,0.7260874044297028,2.3209035257130886,1.2800000000000002,1.0409035257130883
2019-01-27,22.33,27.69,15.73,65.95,1.4,24.2,1.1,4.764814389146351,0.7260874044297028,3.4596717124045737,0.8800000000000001,2.579671712404574
2019-01-28,23.35,31.12,16.21,62.79,1.58,25.11,0.93,5.277674924891755,1.0908839879211012,5.757331069017116,0.7440000000000001,5.0133310690171164
2019-01-29,21.83,28.37,16.77,76.4,1.41,22.74,3.39,4.4253002198669265,1.0908839879211012,4.827489151596558,2.712,2.115489151596558
2019-01-30,21.35,26.41,15.78,71.94,1.44,19.58,4.25,3.944443820789153,1.0908839879211012,4.302930605353216,3.4000000000000004,0.902930605353216
2019-01-31,22.41,30.59,14.12,65.76,1.76,24.6,0.1,5.084968533878542,1.0908839879211012,5.547110752690739,0.08000000000000002,5.467110752690739
2019-02-01,23.25,31.34,17.04,66.86,1.94,24.71,0.2,5.298989077124769,1.0908839879211012,5.780582336404224,0.16000000000000003,5.620582336404224
2019-02-02,22.57,28.37,16.48,68.19,1.61,18.04,0.35,4.005455813733015,1.0908839879211012,4.36948761152683,0.27999999999999997,4.08948761152683
2019-02-03,24.03,32.13,15.89,60.92,1.52,23.74,0.0,5.185676158822693,1.0908839879211012,5.656971088203877,0.0,5.656971088203877
2019-02-04,24.27,32.2,16.31,64.87,1.36,22.61,0.09,4.901741354807267,1.0908839879211012,5.347231156889932,0.072,5.275231156889932
2019-02-05,22.81,28.69,17.41,72.22,1.41,17.56,2.63,3.831826617294345,1.0908839879211012,4.1800783012962786,2.104,2.0760783012962785
2019-02-06,22.12,27.19,17.35,72.46,1.2,20.72,4.37,4.147408757925614,1.0908839879211012,4.524341805384795,3.4960000000000004,1.0283418053847946
