,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm
2019-01-01,20.37,25.12,16.05,79.33,1.27,14.58,3.87
2019-01-02,22.26,30.25,14.73,70.8,1.66,23.68,0.13
2019-01-03,22.59,29.74,16.27,69.05,1.83,20.6,0.18
2019-01-04,21.08,26.19,17.05,77.3,1.0,17.46,5.12
2019-01-05,21.81,27.46,16.95,75.22,1.71,19.05,5.81
2019-01-06,21.47,27.46,18.02,70.9,1.89,19.43,0.38
2019-01-07,22.01,29.92,15.57,63.06,2.05,17.77,0.32
2019-01-08,21.78,29.18,16.71,65.17,2.19,19.55,0.8
2019-01-09,21.79,29.14,15.26,66.65,1.44,21.91,0.08
2019-01-10,21.95,29.3,15.15,64.91,1.37,18.48,0.52
2019-01-11,22.46,29.92,15.57,66.65,1.66,20.94,1.9
2019-01-12,22.37,28.66,16.97,66.07,1.73,21.55,1.29
2019-01-13,22.93,31.26,15.57,62.28,1.74,24.94,0.08
2019-01-14,23.47,30.46,16.86,63.99,1.31,19.74,0.15
2019-01-15,20.2,23.45,16.49,75.38,0.94,12.8,3.91
2019-01-16,18.38,21.09,15.69,82.8,1.25,7.27,2.43
2019-01-17,21.6,29.15,14.81,68.02,1.35,20.03,1.12
2019-01-18,21.01,25.49,16.57,73.44,1.39,9.49,6.68
2019-01-19,21.34,27.3,15.47,72.81,1.49,16.94,7.76
2019-01-20,21.65,27.14,16.69,74.43,1.34,14.23,5.1
2019-01-21,21.13,26.58,16.81,75.75,1.31,13.66,3.52
2019-01-22,22.2,28.86,16.85,70.61,1.11,23.43,0.45
2019-01-23,22.27,27.95,17.35,68.51,1.33,18.97,1.6
2019-01-24,21.36,26.52,16.99,73.9,1.63,14.55,3.02
2019-01-25,21.9,28.33,17.59,71.65,1.33,13.41,0.4
2019-01-26,21.69,28.25,15.56,72.27,1.56,13.41,1.6
2019-01-27,22.33,27.69,15.73,65.95,1.4,24.2,1.1
2019-01-28,23.35,31.12,16.21,62.79,1.58,25.11,0.93
2019-01-29,21.83,28.37,16.77,76.4,1.41,22.74,3.39
